phase,client_observed_ms,server_internal_ms,socket_transfer_overhead_ms,status,decision,reason_code
warmup,207.754,0.000,207.754,200,REFUSE,ERR_SIDECAR_SATURATED
warmup,210.666,11.000,199.666,200,ALLOW,OK_ALLOW
warmup,213.353,10.000,203.353,200,ALLOW,OK_ALLOW
warmup,215.916,10.000,205.916,200,ALLOW,OK_ALLOW
warmup,218.124,9.000,209.124,200,ALLOW,OK_ALLOW
warmup,120.862,0.000,120.862,200,REFUSE,ERR_SIDECAR_SATURATED
warmup,121.473,0.000,121.473,200,REFUSE,ERR_SIDECAR_SATURATED
warmup,121.956,0.000,121.956,200,REFUSE,ERR_SIDECAR_SATURATED
warmup,121.895,0.000,121.895,200,REFUSE,ERR_SIDECAR_SATURATED
warmup,121.427,0.000,121.427,200,REFUSE,ERR_SIDECAR_SATURATED
warmup,121.552,0.000,121.552,200,REFUSE,ERR_SIDECAR_SATURATED
warmup,121.520,0.000,121.520,200,REFUSE,ERR_SIDECAR_SATURATED
warmup,121.574,0.000,121.574,200,REFUSE,ERR_SIDECAR_SATURATED
warmup,148.975,9.000,139.975,200,ALLOW,OK_ALLOW
warmup,146.661,9.000,137.661,200,ALLOW,OK_ALLOW
warmup,151.584,9.000,142.584,200,ALLOW,OK_ALLOW
warmup,149.626,9.000,140.626,200,ALLOW,OK_ALLOW
warmup,116.887,2.000,114.887,200,ALLOW,OK_ALLOW
warmup,116.428,2.000,114.428,200,ALLOW,OK_ALLOW
warmup,116.341,2.000,114.341,200,ALLOW,OK_ALLOW
warmup,116.318,2.000,114.318,200,ALLOW,OK_ALLOW
warmup,116.349,2.000,114.349,200,ALLOW,OK_ALLOW
warmup,116.330,2.000,114.330,200,ALLOW,OK_ALLOW
warmup,116.451,2.000,114.451,200,ALLOW,OK_ALLOW
warmup,115.967,2.000,113.967,200,ALLOW,OK_ALLOW
warmup,115.766,2.000,113.766,200,ALLOW,OK_ALLOW
warmup,113.594,2.000,111.594,200,ALLOW,OK_ALLOW
warmup,114.105,2.000,112.105,200,ALLOW,OK_ALLOW
warmup,115.372,2.000,113.372,200,ALLOW,OK_ALLOW
warmup,114.546,2.000,112.546,200,ALLOW,OK_ALLOW
warmup,114.959,2.000,112.959,200,ALLOW,OK_ALLOW
warmup,115.446,2.000,113.446,200,ALLOW,OK_ALLOW
warmup,117.923,2.000,115.923,200,ALLOW,OK_ALLOW
warmup,117.591,2.000,115.591,200,ALLOW,OK_ALLOW
warmup,116.446,2.000,114.446,200,ALLOW,OK_ALLOW
warmup,116.440,2.000,114.440,200,ALLOW,OK_ALLOW
warmup,116.779,1.000,115.779,200,ALLOW,OK_ALLOW
warmup,116.771,1.000,115.771,200,ALLOW,OK_ALLOW
warmup,116.135,1.000,115.135,200,ALLOW,OK_ALLOW
warmup,112.863,2.000,110.863,200,ALLOW,OK_ALLOW
warmup,110.751,1.000,109.751,200,ALLOW,OK_ALLOW
warmup,115.448,2.000,113.448,200,ALLOW,OK_ALLOW
warmup,113.268,1.000,112.268,200,ALLOW,OK_ALLOW
warmup,113.035,2.000,111.035,200,ALLOW,OK_ALLOW
warmup,113.222,2.000,111.222,200,ALLOW,OK_ALLOW
warmup,113.672,2.000,111.672,200,ALLOW,OK_ALLOW
warmup,110.905,2.000,108.905,200,ALLOW,OK_ALLOW
warmup,110.827,1.000,109.827,200,ALLOW,OK_ALLOW
warmup,111.196,1.000,110.196,200,ALLOW,OK_ALLOW
warmup,111.345,2.000,109.345,200,ALLOW,OK_ALLOW
warmup,111.586,1.000,110.586,200,ALLOW,OK_ALLOW
warmup,111.061,2.000,109.061,200,ALLOW,OK_ALLOW
warmup,111.016,1.000,110.016,200,ALLOW,OK_ALLOW
warmup,111.035,1.000,110.035,200,ALLOW,OK_ALLOW
warmup,111.022,1.000,110.022,200,ALLOW,OK_ALLOW
warmup,110.535,1.000,109.535,200,ALLOW,OK_ALLOW
warmup,110.707,2.000,108.707,200,ALLOW,OK_ALLOW
warmup,108.667,2.000,106.667,200,ALLOW,OK_ALLOW
warmup,113.041,2.000,111.041,200,ALLOW,OK_ALLOW
warmup,125.032,2.000,123.032,200,ALLOW,OK_ALLOW
warmup,125.253,2.000,123.253,200,ALLOW,OK_ALLOW
warmup,124.592,2.000,122.592,200,ALLOW,OK_ALLOW
warmup,118.435,1.000,117.435,200,ALLOW,OK_ALLOW
warmup,112.045,1.000,111.045,200,ALLOW,OK_ALLOW
warmup,112.097,2.000,110.097,200,ALLOW,OK_ALLOW
warmup,112.405,2.000,110.405,200,ALLOW,OK_ALLOW
warmup,122.447,2.000,120.447,200,ALLOW,OK_ALLOW
warmup,122.895,1.000,121.895,200,ALLOW,OK_ALLOW
warmup,122.799,2.000,120.799,200,ALLOW,OK_ALLOW
warmup,120.812,2.000,118.812,200,ALLOW,OK_ALLOW
warmup,125.655,2.000,123.655,200,ALLOW,OK_ALLOW
warmup,123.157,2.000,121.157,200,ALLOW,OK_ALLOW
warmup,146.784,0.000,146.784,200,REFUSE,ERR_SIDECAR_SATURATED
warmup,144.098,0.000,144.098,200,REFUSE,ERR_SIDECAR_SATURATED
warmup,126.658,2.000,124.658,200,ALLOW,OK_ALLOW
warmup,126.556,2.000,124.556,200,ALLOW,OK_ALLOW
warmup,126.901,2.000,124.901,200,ALLOW,OK_ALLOW
warmup,160.227,3.000,157.227,200,ALLOW,OK_ALLOW
warmup,186.149,0.000,186.149,200,REFUSE,ERR_SIDECAR_SATURATED
warmup,186.340,0.000,186.340,200,REFUSE,ERR_SIDECAR_SATURATED
warmup,185.961,0.000,185.961,200,REFUSE,ERR_SIDECAR_SATURATED
warmup,202.173,3.000,199.173,200,ALLOW,OK_ALLOW
warmup,202.766,3.000,199.766,200,ALLOW,OK_ALLOW
warmup,203.340,3.000,200.340,200,ALLOW,OK_ALLOW
warmup,202.022,3.000,199.022,200,ALLOW,OK_ALLOW
warmup,374.060,0.000,374.060,200,REFUSE,ERR_SIDECAR_SATURATED
warmup,340.166,0.000,340.166,200,REFUSE,ERR_SIDECAR_SATURATED
warmup,304.724,0.000,304.724,200,REFUSE,ERR_SIDECAR_SATURATED
warmup,378.492,3.000,375.492,200,ALLOW,OK_ALLOW
warmup,354.617,3.000,351.617,200,ALLOW,OK_ALLOW
warmup,418.955,3.000,415.955,200,ALLOW,OK_ALLOW
warmup,331.747,3.000,328.747,200,ALLOW,OK_ALLOW
warmup,109.965,2.000,107.965,200,ALLOW,OK_ALLOW
warmup,109.888,2.000,107.888,200,ALLOW,OK_ALLOW
warmup,109.582,2.000,107.582,200,ALLOW,OK_ALLOW
warmup,108.900,2.000,106.900,200,ALLOW,OK_ALLOW
warmup,107.183,1.000,106.183,200,ALLOW,OK_ALLOW
warmup,108.347,2.000,106.347,200,ALLOW,OK_ALLOW
warmup,106.249,2.000,104.249,200,ALLOW,OK_ALLOW
warmup,110.395,3.000,107.395,200,ALLOW,OK_ALLOW
warmup,107.701,1.000,106.701,200,ALLOW,OK_ALLOW
warmup,107.682,2.000,105.682,200,ALLOW,OK_ALLOW
warmup,107.742,2.000,105.742,200,ALLOW,OK_ALLOW
warmup,108.186,2.000,106.186,200,ALLOW,OK_ALLOW
warmup,107.741,1.000,106.741,200,ALLOW,OK_ALLOW
warmup,105.149,1.000,104.149,200,ALLOW,OK_ALLOW
warmup,109.170,2.000,107.170,200,ALLOW,OK_ALLOW
warmup,107.125,2.000,105.125,200,ALLOW,OK_ALLOW
warmup,107.466,2.000,105.466,200,ALLOW,OK_ALLOW
warmup,107.615,2.000,105.615,200,ALLOW,OK_ALLOW
warmup,107.566,2.000,105.566,200,ALLOW,OK_ALLOW
warmup,107.762,2.000,105.762,200,ALLOW,OK_ALLOW
warmup,199.848,1.000,198.848,200,ALLOW,OK_ALLOW
warmup,205.885,2.000,203.885,200,ALLOW,OK_ALLOW
warmup,199.921,2.000,197.921,200,ALLOW,OK_ALLOW
warmup,109.540,1.000,108.540,200,ALLOW,OK_ALLOW
warmup,109.727,1.000,108.727,200,ALLOW,OK_ALLOW
warmup,109.885,1.000,108.885,200,ALLOW,OK_ALLOW
warmup,109.931,2.000,107.931,200,ALLOW,OK_ALLOW
warmup,109.518,2.000,107.518,200,ALLOW,OK_ALLOW
warmup,109.312,1.000,108.312,200,ALLOW,OK_ALLOW
warmup,109.429,1.000,108.429,200,ALLOW,OK_ALLOW
warmup,109.200,1.000,108.200,200,ALLOW,OK_ALLOW
warmup,109.493,1.000,108.493,200,ALLOW,OK_ALLOW
warmup,109.552,1.000,108.552,200,ALLOW,OK_ALLOW
warmup,109.539,1.000,108.539,200,ALLOW,OK_ALLOW
warmup,110.970,1.000,109.970,200,ALLOW,OK_ALLOW
warmup,110.735,1.000,109.735,200,ALLOW,OK_ALLOW
warmup,110.852,1.000,109.852,200,ALLOW,OK_ALLOW
warmup,111.089,1.000,110.089,200,ALLOW,OK_ALLOW
warmup,111.810,2.000,109.810,200,ALLOW,OK_ALLOW
warmup,112.067,2.000,110.067,200,ALLOW,OK_ALLOW
warmup,112.060,2.000,110.060,200,ALLOW,OK_ALLOW
warmup,111.671,1.000,110.671,200,ALLOW,OK_ALLOW
warmup,109.159,1.000,108.159,200,ALLOW,OK_ALLOW
warmup,113.275,2.000,111.275,200,ALLOW,OK_ALLOW
warmup,111.774,2.000,109.774,200,ALLOW,OK_ALLOW
warmup,112.029,1.000,111.029,200,ALLOW,OK_ALLOW
warmup,112.202,1.000,111.202,200,ALLOW,OK_ALLOW
warmup,111.955,1.000,110.955,200,ALLOW,OK_ALLOW
warmup,111.901,1.000,110.901,200,ALLOW,OK_ALLOW
warmup,111.832,1.000,110.832,200,ALLOW,OK_ALLOW
warmup,112.330,1.000,111.330,200,ALLOW,OK_ALLOW
warmup,112.450,1.000,111.450,200,ALLOW,OK_ALLOW
warmup,112.681,1.000,111.681,200,ALLOW,OK_ALLOW
warmup,112.684,1.000,111.684,200,ALLOW,OK_ALLOW
warmup,112.466,1.000,111.466,200,ALLOW,OK_ALLOW
warmup,112.077,2.000,110.077,200,ALLOW,OK_ALLOW
warmup,109.523,1.000,108.523,200,ALLOW,OK_ALLOW
warmup,110.121,1.000,109.121,200,ALLOW,OK_ALLOW
warmup,110.160,1.000,109.160,200,ALLOW,OK_ALLOW
warmup,107.352,1.000,106.352,200,ALLOW,OK_ALLOW
warmup,112.103,2.000,110.103,200,ALLOW,OK_ALLOW
warmup,108.773,1.000,107.773,200,ALLOW,OK_ALLOW
warmup,108.617,1.000,107.617,200,ALLOW,OK_ALLOW
warmup,109.013,1.000,108.013,200,ALLOW,OK_ALLOW
warmup,109.451,1.000,108.451,200,ALLOW,OK_ALLOW
warmup,107.348,1.000,106.348,200,ALLOW,OK_ALLOW
warmup,111.348,2.000,109.348,200,ALLOW,OK_ALLOW
warmup,108.191,1.000,107.191,200,ALLOW,OK_ALLOW
warmup,105.671,1.000,104.671,200,ALLOW,OK_ALLOW
warmup,109.762,1.000,108.762,200,ALLOW,OK_ALLOW
warmup,107.581,1.000,106.581,200,ALLOW,OK_ALLOW
warmup,107.956,1.000,106.956,200,ALLOW,OK_ALLOW
warmup,108.179,2.000,106.179,200,ALLOW,OK_ALLOW
warmup,108.234,2.000,106.234,200,ALLOW,OK_ALLOW
warmup,108.199,2.000,106.199,200,ALLOW,OK_ALLOW
warmup,108.294,2.000,106.294,200,ALLOW,OK_ALLOW
warmup,108.307,2.000,106.307,200,ALLOW,OK_ALLOW
warmup,108.328,2.000,106.328,200,ALLOW,OK_ALLOW
warmup,110.253,1.000,109.253,200,ALLOW,OK_ALLOW
warmup,110.227,1.000,109.227,200,ALLOW,OK_ALLOW
warmup,108.300,1.000,107.300,200,ALLOW,OK_ALLOW
warmup,112.341,2.000,110.341,200,ALLOW,OK_ALLOW
warmup,109.914,1.000,108.914,200,ALLOW,OK_ALLOW
warmup,107.572,1.000,106.572,200,ALLOW,OK_ALLOW
warmup,112.167,1.000,111.167,200,ALLOW,OK_ALLOW
warmup,110.230,1.000,109.230,200,ALLOW,OK_ALLOW
warmup,109.946,1.000,108.946,200,ALLOW,OK_ALLOW
warmup,101.676,0.000,101.676,200,REFUSE,ERR_SIDECAR_SATURATED
warmup,101.435,0.000,101.435,200,REFUSE,ERR_SIDECAR_SATURATED
warmup,115.169,2.000,113.169,200,ALLOW,OK_ALLOW
warmup,115.266,2.000,113.266,200,ALLOW,OK_ALLOW
warmup,119.273,2.000,117.273,200,ALLOW,OK_ALLOW
warmup,123.606,2.000,121.606,200,ALLOW,OK_ALLOW
warmup,110.249,1.000,109.249,200,ALLOW,OK_ALLOW
warmup,109.839,1.000,108.839,200,ALLOW,OK_ALLOW
warmup,106.839,1.000,105.839,200,ALLOW,OK_ALLOW
warmup,111.053,1.000,110.053,200,ALLOW,OK_ALLOW
warmup,96.989,0.000,96.989,200,REFUSE,ERR_SIDECAR_SATURATED
warmup,96.927,0.000,96.927,200,REFUSE,ERR_SIDECAR_SATURATED
warmup,96.698,0.000,96.698,200,REFUSE,ERR_SIDECAR_SATURATED
warmup,96.386,0.000,96.386,200,REFUSE,ERR_SIDECAR_SATURATED
warmup,96.492,0.000,96.492,200,REFUSE,ERR_SIDECAR_SATURATED
warmup,115.678,3.000,112.678,200,ALLOW,OK_ALLOW
warmup,115.281,3.000,112.281,200,ALLOW,OK_ALLOW
warmup,115.193,3.000,112.193,200,ALLOW,OK_ALLOW
warmup,115.158,3.000,112.158,200,ALLOW,OK_ALLOW
warmup,104.229,1.000,103.229,200,ALLOW,OK_ALLOW
warmup,104.398,1.000,103.398,200,ALLOW,OK_ALLOW
warmup,103.620,1.000,102.620,200,ALLOW,OK_ALLOW
warmup,103.950,1.000,102.950,200,ALLOW,OK_ALLOW
warmup,96.401,0.000,96.401,200,REFUSE,ERR_SIDECAR_SATURATED
warmup,96.458,0.000,96.458,200,REFUSE,ERR_SIDECAR_SATURATED
warmup,96.390,0.000,96.390,200,REFUSE,ERR_SIDECAR_SATURATED
