phase,client_observed_ms,server_internal_ms,socket_transfer_overhead_ms,status,decision,reason_code
warmup,7.209,2.000,5.209,200,ALLOW,OK_ALLOW
warmup,8.440,2.000,6.440,200,ALLOW,OK_ALLOW
warmup,9.074,2.000,7.074,200,ALLOW,OK_ALLOW
warmup,9.789,3.000,6.789,200,ALLOW,OK_ALLOW
warmup,10.503,3.000,7.503,200,ALLOW,OK_ALLOW
warmup,10.980,3.000,7.980,200,ALLOW,OK_ALLOW
warmup,5.965,1.000,4.965,200,ALLOW,OK_ALLOW
warmup,5.411,1.000,4.411,200,ALLOW,OK_ALLOW
warmup,5.319,2.000,3.319,200,ALLOW,OK_ALLOW
warmup,5.158,2.000,3.158,200,ALLOW,OK_ALLOW
warmup,4.932,1.000,3.932,200,ALLOW,OK_ALLOW
warmup,4.824,1.000,3.824,200,ALLOW,OK_ALLOW
warmup,4.544,1.000,3.544,200,ALLOW,OK_ALLOW
warmup,4.171,1.000,3.171,200,ALLOW,OK_ALLOW
warmup,4.776,1.000,3.776,200,ALLOW,OK_ALLOW
warmup,5.097,1.000,4.097,200,ALLOW,OK_ALLOW
warmup,5.021,1.000,4.021,200,ALLOW,OK_ALLOW
warmup,5.388,1.000,4.388,200,ALLOW,OK_ALLOW
warmup,5.491,1.000,4.491,200,ALLOW,OK_ALLOW
warmup,5.793,2.000,3.793,200,ALLOW,OK_ALLOW
warmup,5.048,2.000,3.048,200,ALLOW,OK_ALLOW
warmup,4.626,1.000,3.626,200,ALLOW,OK_ALLOW
warmup,4.755,2.000,2.755,200,ALLOW,OK_ALLOW
warmup,4.647,2.000,2.647,200,ALLOW,OK_ALLOW
warmup,4.514,2.000,2.514,200,ALLOW,OK_ALLOW
warmup,4.210,2.000,2.210,200,ALLOW,OK_ALLOW
warmup,4.090,1.000,3.090,200,ALLOW,OK_ALLOW
warmup,4.255,1.000,3.255,200,ALLOW,OK_ALLOW
warmup,4.343,1.000,3.343,200,ALLOW,OK_ALLOW
warmup,4.051,1.000,3.051,200,ALLOW,OK_ALLOW
warmup,4.069,2.000,2.069,200,ALLOW,OK_ALLOW
warmup,4.030,1.000,3.030,200,ALLOW,OK_ALLOW
warmup,4.309,1.000,3.309,200,ALLOW,OK_ALLOW
warmup,3.900,1.000,2.900,200,ALLOW,OK_ALLOW
warmup,3.993,1.000,2.993,200,ALLOW,OK_ALLOW
warmup,4.128,1.000,3.128,200,ALLOW,OK_ALLOW
warmup,4.543,1.000,3.543,200,ALLOW,OK_ALLOW
warmup,4.721,1.000,3.721,200,ALLOW,OK_ALLOW
warmup,4.864,1.000,3.864,200,ALLOW,OK_ALLOW
warmup,5.136,1.000,4.136,200,ALLOW,OK_ALLOW
warmup,5.153,2.000,3.153,200,ALLOW,OK_ALLOW
warmup,5.128,1.000,4.128,200,ALLOW,OK_ALLOW
warmup,4.746,1.000,3.746,200,ALLOW,OK_ALLOW
warmup,4.962,1.000,3.962,200,ALLOW,OK_ALLOW
warmup,5.106,1.000,4.106,200,ALLOW,OK_ALLOW
warmup,4.799,1.000,3.799,200,ALLOW,OK_ALLOW
warmup,4.621,1.000,3.621,200,ALLOW,OK_ALLOW
warmup,4.437,1.000,3.437,200,ALLOW,OK_ALLOW
warmup,4.315,1.000,3.315,200,ALLOW,OK_ALLOW
warmup,3.978,1.000,2.978,200,ALLOW,OK_ALLOW
warmup,3.487,1.000,2.487,200,ALLOW,OK_ALLOW
warmup,3.772,1.000,2.772,200,ALLOW,OK_ALLOW
warmup,3.800,1.000,2.800,200,ALLOW,OK_ALLOW
warmup,3.896,1.000,2.896,200,ALLOW,OK_ALLOW
warmup,3.634,1.000,2.634,200,ALLOW,OK_ALLOW
warmup,3.640,1.000,2.640,200,ALLOW,OK_ALLOW
warmup,2.843,1.000,1.843,200,ALLOW,OK_ALLOW
warmup,4.241,1.000,3.241,200,ALLOW,OK_ALLOW
warmup,3.464,2.000,1.464,200,ALLOW,OK_ALLOW
warmup,4.229,2.000,2.229,200,ALLOW,OK_ALLOW
warmup,3.914,2.000,1.914,200,ALLOW,OK_ALLOW
warmup,5.262,2.000,3.262,200,ALLOW,OK_ALLOW
warmup,4.821,3.000,1.821,200,ALLOW,OK_ALLOW
warmup,4.721,2.000,2.721,200,ALLOW,OK_ALLOW
warmup,4.747,2.000,2.747,200,ALLOW,OK_ALLOW
warmup,3.910,1.000,2.910,200,ALLOW,OK_ALLOW
warmup,3.890,2.000,1.890,200,ALLOW,OK_ALLOW
warmup,3.677,2.000,1.677,200,ALLOW,OK_ALLOW
